 l_suppkey |          s_name           | l_orderkey | o_orderdate | l_commitdate 
-----------+---------------------------+------------+-------------+--------------
      2461 | Supplier#000002461        |    2685031 | 1994-04-01  | 1994-06-25
      5473 | Supplier#000005473        |    2685665 | 1993-09-06  | 1993-11-19
      9773 | Supplier#000009773        |    2690242 | 1992-08-15  | 1992-09-30
      1250 | Supplier#000001250        |    2691586 | 1994-05-07  | 1994-06-10
      2485 | Supplier#000002485        |    2699778 | 1993-03-25  | 1993-05-23
      6411 | Supplier#000006411        |    2699846 | 1994-01-18  | 1994-02-17
      1304 | Supplier#000001304        |    2700995 | 1993-12-08  | 1994-01-09
       447 | Supplier#000000447        |    2701539 | 1994-09-04  | 1994-10-23
       298 | Supplier#000000298        |    2701702 | 1992-03-07  | 1992-04-09
      6449 | Supplier#000006449        |    2702150 | 1992-09-12  | 1992-10-27
      4041 | Supplier#000004041        |    2711460 | 1994-06-25  | 1994-08-08
      7850 | Supplier#000007850        |    2711810 | 1993-03-14  | 1993-06-05
      8388 | Supplier#000008388        |    2712003 | 1994-04-22  | 1994-06-24
      1737 | Supplier#000001737        |    2712578 | 1992-06-25  | 1992-08-25
      9153 | Supplier#000009153        |    2720965 | 1994-03-22  | 1994-06-09
      3103 | Supplier#000003103        |    2722080 | 1994-10-24  | 1994-12-18
      3103 | Supplier#000003103        |    2722080 | 1994-10-24  | 1994-12-12
      1668 | Supplier#000001668        |    2722080 | 1994-10-24  | 1994-12-14
      3920 | Supplier#000003920        |    2722370 | 1992-03-02  | 1992-04-24
      1550 | Supplier#000001550        |    2723238 | 1993-06-04  | 1993-08-15
      3881 | Supplier#000003881        |    2731491 | 1995-02-19  | 1995-04-11
      1250 | Supplier#000001250        |    2732035 | 1995-01-04  | 1995-03-14
      3058 | Supplier#000003058        |    2732869 | 1992-03-24  | 1992-06-11
      8952 | Supplier#000008952        |    2740324 | 1992-01-03  | 1992-03-03
      1088 | Supplier#000001088        |    2740992 | 1993-01-15  | 1993-02-26
      4788 | Supplier#000004788        |    2742690 | 1992-04-12  | 1992-07-01
      2592 | Supplier#000002592        |    2743044 | 1993-11-27  | 1994-01-21
      6171 | Supplier#000006171        |    2743585 | 1992-09-16  | 1992-10-22
      9798 | Supplier#000009798        |    2750944 | 1993-01-30  | 1993-04-06
      2326 | Supplier#000002326        |    2752769 | 1993-07-07  | 1993-09-05
      4340 | Supplier#000004340        |    2752774 | 1994-12-08  | 1995-01-16
      3218 | Supplier#000003218        |    2765030 | 1993-05-13  | 1993-07-31
       462 | Supplier#000000462        |    2765538 | 1992-01-22  | 1992-04-13
      4738 | Supplier#000004738        |    2765957 | 1993-03-28  | 1993-05-01
      3486 | Supplier#000003486        |    2765957 | 1993-03-28  | 1993-06-26
      7432 | Supplier#000007432        |    2766208 | 1993-06-08  | 1993-07-09
      2347 | Supplier#000002347        |    2766402 | 1992-03-31  | 1992-06-14
      2275 | Supplier#000002275        |    2766816 | 1994-04-10  | 1994-06-17
      2822 | Supplier#000002822        |    2774656 | 1992-12-06  | 1993-02-27
      7603 | Supplier#000007603        |    2775558 | 1994-05-10  | 1994-08-01
      7884 | Supplier#000007884        |    2777220 | 1992-03-21  | 1992-05-28
      6979 | Supplier#000006979        |    2785029 | 1992-02-05  | 1992-03-08
      1114 | Supplier#000001114        |    2785063 | 1994-07-19  | 1994-10-05
      8217 | Supplier#000008217        |    2785152 | 1992-10-15  | 1992-11-20
      3493 | Supplier#000003493        |    2785316 | 1993-03-12  | 1993-05-01
      7547 | Supplier#000007547        |    2785379 | 1992-11-26  | 1993-02-15
      6649 | Supplier#000006649        |    2786726 | 1993-09-17  | 1993-11-30
      2326 | Supplier#000002326        |    2787813 | 1993-03-15  | 1993-05-07
      6538 | Supplier#000006538        |    2796768 | 1994-01-01  | 1994-02-01
      2925 | Supplier#000002925        |    2797121 | 1992-09-30  | 1992-11-18
      2084 | Supplier#000002084        |    2797766 | 1994-06-17  | 1994-08-22
      8835 | Supplier#000008835        |    2805217 | 1993-08-09  | 1993-09-30
      2461 | Supplier#000002461        |    2806208 | 1994-06-04  | 1994-07-06
       447 | Supplier#000000447        |    2806436 | 1992-04-16  | 1992-05-19
      3110 | Supplier#000003110        |    2677413 | 1992-04-19  | 1992-05-30
      4979 | Supplier#000004979        |    2677667 | 1994-08-03  | 1994-09-30
      5746 | Supplier#000005746        |    2677956 | 1992-04-04  | 1992-06-07
      2182 | Supplier#000002182        |    2678919 | 1992-10-29  | 1992-11-30
      6449 | Supplier#000006449        |    2680162 | 1993-06-16  | 1993-07-17
      2964 | Supplier#000002964        |    2680579 | 1994-07-07  | 1994-09-16
       339 | Supplier#000000339        |    2681728 | 1992-04-27  | 1992-06-04
      3829 | Supplier#000003829        |    2682208 | 1993-07-02  | 1993-08-08
      1861 | Supplier#000001861        |    2693122 | 1993-10-13  | 1993-11-23
      4914 | Supplier#000004914        |    2695751 | 1994-07-29  | 1994-09-13
       231 | Supplier#000000231        |    2696033 | 1992-08-31  | 1992-09-30
      2973 | Supplier#000002973        |    2696132 | 1994-06-27  | 1994-08-23
      3829 | Supplier#000003829        |    2704358 | 1992-11-08  | 1993-01-11
      8485 | Supplier#000008485        |    2704992 | 1993-07-03  | 1993-08-23
      8488 | Supplier#000008488        |    2706021 | 1994-09-04  | 1994-10-28
      4862 | Supplier#000004862        |    2706272 | 1994-11-03  | 1994-12-03
      3733 | Supplier#000003733        |    2713409 | 1994-11-29  | 1995-02-03
      1847 | Supplier#000001847        |    2698084 | 1994-11-27  | 1995-02-02
      8774 | Supplier#000008774        |    2807463 | 1992-04-01  | 1992-05-16
      8294 | Supplier#000008294        |    2816547 | 1992-06-06  | 1992-08-01
      5380 | Supplier#000005380        |    2817088 | 1993-08-04  | 1993-10-21
      8531 | Supplier#000008531        |    2817575 | 1994-05-14  | 1994-07-29
      8328 | Supplier#000008328        |    2817986 | 1994-12-07  | 1995-01-27
      4555 | Supplier#000004555        |    2818245 | 1994-10-04  | 1994-11-27
      3524 | Supplier#000003524        |    2818308 | 1993-05-12  | 1993-07-25
      1817 | Supplier#000001817        |    2827266 | 1994-08-14  | 1994-10-28
      4681 | Supplier#000004681        |    2827398 | 1995-01-09  | 1995-03-17
      2326 | Supplier#000002326        |    2828643 | 1993-11-04  | 1993-12-13
      2554 | Supplier#000002554        |    2837313 | 1995-02-14  | 1995-04-05
      8017 | Supplier#000008017        |    2838278 | 1994-06-09  | 1994-09-02
      2404 | Supplier#000002404        |    2846085 | 1993-06-17  | 1993-08-23
      6251 | Supplier#000006251        |    2846087 | 1993-05-28  | 1993-08-01
      4531 | Supplier#000004531        |    2846372 | 1993-06-29  | 1993-09-25
      3872 | Supplier#000003872        |    2846406 | 1994-06-02  | 1994-07-09
